Country,Geographic_region,Private_company,End_target,End_target_year,Status_of_end_target,Interim_target,Interim_target_year,GHGs_covered,Scope_1_coverage,Scope_2_coverage,Published_plan,Reporting_mechanism,Accountability_delivery,Carbon_credits,Separate_removal_target,Planning_removals,Historical_emissions,Race_to_zero_member,Industry,log_revenue,log_employees,Scope_3_coverage
CHN,East Asia,No,Carbon neutral(ity),2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,Services,25.13502116235473,11.593924638161676,Yes
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),No,No,Fossil Fuels,26.37147569854275,11.552155793461898,Yes
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.355247714010947,8.149312843635345,Partial
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,25.04931718115643,11.78917746228709,Not Specified
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Materials,23.86309845451745,11.06665398721974,Partial
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,Yes,Services,24.761040047697755,11.009274044952239,Partial
SWE,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,Services,23.628799842636973,9.917538375758788,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Net zero or similar,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,25.15883323856017,12.206077645517674,Yes
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2033.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,No,No,Not Specified,No,No,Materials,23.328840246533247,10.62135173563291,Yes
USA,North America,Yes,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",24.529928326738954,11.775297421715827,Yes
FRA,Europe,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Yes (unspecified),No,Yes,Materials,23.521095801800367,10.094273187742212,Yes
JPN,East Asia,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,20.175084428366755,7.718240951959316,No
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Net zero or similar,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.63835584864453,8.632127729508337,Partial
DEU,Europe,No,Net zero,2050.0,In corporate strategy,Absolute emissions target,2030.0,Carbon dioxide only,Not Specified,Not Specified,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Transportation services,25.23481741163213,13.307554147399848,Not Specified
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Infrastructure,23.05278493127788,9.230437073675304,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,Services,24.404617024664745,11.820417517632333,Yes
CHN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2032.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Retail,23.025850930040455,11.82981433596995,Yes
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions intensity target,2025.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Materials,23.340661669853482,9.986725151106183,No
GBR,Europe,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,Yes,Materials,23.658929584087378,9.505320746909074,Partial
CAN,North America,No,Emissions reduction target,2035.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Fossil Fuels,23.390563485631095,9.228278517107196,No
CHN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Not Specified,Not Specified,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,20.682443843467823,8.279443487712665,Not Specified
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Fossil Fuels,24.02276266381913,9.49732219931357,Partial
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,No,Not Specified,No,No,No,No,Manufacturing,22.995391722558843,11.353026629438281,No
HKG,East Asia,No,Emissions reduction target,2035.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Infrastructure,8.705993714307901,10.915106645867503,Yes
CHN,East Asia,No,Carbon neutral(ity),2050.0,Declaration / pledge,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.377677115214446,8.811205187562887,Not Specified
SGP,East Asia,No,Net zero,2050.0,In corporate strategy,Other,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,No,No,No,Services,23.957660617511667,10.3610706149064,Yes
CHN,East Asia,No,Emissions reduction target,2025.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",25.129667960773805,11.650659265098087,No
HKG,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,Yes (unspecified),No,Yes,Infrastructure,20.9055873945737,8.462314529906248,Yes
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,No,No,No,"Biotech, health care & pharma",23.252508300634183,9.6457525564523,Yes
BRA,Latin America and the Caribbean,No,Carbon neutral(ity),2051.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Infrastructure,22.791014280161672,9.473396704601559,Yes
KOR,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,Yes,No,Manufacturing,23.805175806787325,6.0330862217988015,Yes
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,No,No,No,Yes,No,Services,20.665636725169097,7.992944547318106,No
USA,North America,No,Net zero,2050.0,Proposed / in discussion,Emissions reduction target,2032.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,Yes,No,Manufacturing,24.155638836109325,11.302216779257382,Yes
ESP,Europe,No,Net zero,2040.0,In corporate strategy,Net zero or similar,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,Power generation,24.602641676062976,10.65128862434712,Yes
LUX,Europe,No,Carbon neutral(ity),2030.0,Proposed / in discussion,Net zero or similar,2025.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,No,Not Specified,No,Not Specified,No,No,Services,22.783142223258878,9.306740866262498,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,No,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Transportation services,23.693680302567394,10.531669454243714,Not Specified
GBR,Europe,No,Emissions reduction target,2030.0,In corporate strategy,Other,2026.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Fossil Fuels,22.95209674145945,10.138757283648179,No
POL,Europe,No,Net zero,2050.0,Declaration / pledge,Emissions reduction target,2030.0,Not Specified,Not Specified,Not Specified,Yes,No reporting mechanism,No,Not Specified,No,No,No,No,Infrastructure,23.508338805736418,10.644853305366548,Not Specified
TWN,East Asia,No,Net zero,2050.0,In corporate strategy,Absolute emissions target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",Yes,Yes,Services,21.678777282358464,9.028578658440741,Yes
KEN,Africa,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,Services,21.619761941900382,8.752107198329362,No
USA,North America,No,Emissions reduction target,2035.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,No,No,No,No,No,Manufacturing,22.3719244627261,9.803722464346553,Partial
ITA,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,No,Not Specified,No,Yes (unspecified),No,Yes,Manufacturing,23.54975071325294,10.315133519719373,Yes
THA,East Asia,No,Net zero,2030.0,In corporate strategy,No target,2050.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,No,No,Not Specified,No,No,Services,22.25970285671117,10.434145214930487,No
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Manufacturing,23.536396514559147,10.778977123006351,Partial
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Manufacturing,23.779434479351302,10.757924157061597,No
CHN,East Asia,No,Other,2025.0,Proposed / in discussion,No target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,No,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Infrastructure,25.070959792552724,11.775789604479371,Not Specified
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,Yes,No,"Food, beverage & agriculture",24.568422280138996,11.151969943847991,Yes
CAN,North America,No,Net zero,2050.0,Declaration / pledge,Emissions reduction target,2025.0,Not Specified,Not Specified,Not Specified,No,No reporting mechanism,No,Not Specified,No,No,No,No,Manufacturing,23.04152740942391,10.803262649032352,Not Specified
USA,North America,No,Emissions intensity target,2025.0,Achieved (externally validated),No target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Manufacturing,23.353210342117084,10.434145214930487,No
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",21.795876323417634,8.974744612722734,No
AUS,Oceania,No,Carbon neutral(ity),2025.0,Achieved (externally validated),Other,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,Infrastructure,21.07743765136878,6.933423025730715,Partial
DEU,Europe,No,Climate neutral,2045.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Less than annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,20.865633079100636,7.479299637782834,Not Specified
BMU,Latin America and the Caribbean,No,Net zero,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,No,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,23.572873469076132,8.018954683155718,Partial
JPN,East Asia,No,Emissions reduction target,2050.0,In corporate strategy,Net zero or similar,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,Yes,Yes,"Biotech, health care & pharma",21.905299734060247,8.212839584676484,Yes
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Power generation,23.16543894423448,8.97941663334301,Not Specified
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2035.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Fossil Fuels,23.15687919243458,9.544667452251007,No
USA,North America,Yes,No target,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,No reporting mechanism,Not Specified,Not Specified,No,Not Specified,No,No,Services,23.330390119532407,9.754784507365798,Not Specified
KOR,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Yes (unspecified),No,Yes,Materials,24.30319500657984,9.536617962187327,Partial
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Manufacturing,23.104384807687012,9.952325334619427,Yes
KWT,Western and Central Asia,No,Emissions reduction target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Services,22.568092027269213,9.61587214452889,Yes
USA,North America,No,Emissions intensity target,2050.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Not Specified,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Fossil Fuels,24.877450399540226,9.581972891547895,Yes
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Not Specified,No,Not Specified,No,Yes,Manufacturing,25.108948281010914,12.76815681307992,Yes
CZE,Europe,No,Climate neutral,2040.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Yes (unspecified),No,Yes,Power generation,23.44186025199026,10.227742605218749,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,"Biotech, health care & pharma",25.80263085680493,11.518410395200798,Partial
GBR,Europe,No,Net zero,2040.0,Declaration / pledge,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,No,No,Not Specified,No,Yes,Infrastructure,22.79391887271927,9.463198053273784,Partial
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.65503614006281,5.099866427824199,Not Specified
NLD,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,No,No,Yes,Services,22.471247559002695,8.369620826949102,Not Specified
BRA,Latin America and the Caribbean,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Manufacturing,22.50967770001543,10.574849141024151,Partial
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Power generation,23.32150117211582,9.34145634983372,Yes
CHN,East Asia,No,Carbon neutral(ity),2060.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Fossil Fuels,23.57420352565496,11.263925499110792,Not Specified
USA,North America,No,Emissions reduction target,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,No,Not Specified,Yes,Not Specified,Yes,Yes,Services,23.54464472341515,12.586223364451623,Yes
CAN,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,No,No,Yes,Annual reporting,No,Not Specified,No,No,No,No,"Food, beverage & agriculture",24.529283674550946,12.301387370778713,No
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,"Food, beverage & agriculture",24.6956687283821,10.043292972227004,Yes
USA,North America,No,No target,2040.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,No reporting mechanism,No,Not Specified,No,Not Specified,No,No,Retail,23.867418115661778,10.203629181337648,No
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",23.139179615336747,11.112462823634855,Yes
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2028.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",23.456268779469223,10.472742448925512,No
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Net zero or similar,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,No,No,Yes,Services,23.21647128963175,9.975761701406148,Yes
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,No,No,No,Materials,24.216768889422987,11.0384156983199,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Less than annual reporting,Not Specified,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",Yes,No,Transportation services,24.040465477906565,11.190665750276072,Partial
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,11.349594441107186,12.00709107824302,Not Specified
CHN,East Asia,No,Emissions reduction target,2026.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.4256474952055,9.486076373409563,No
HKG,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Infrastructure,21.451780161826274,8.936035096566041,Partial
AUS,Oceania,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,Not Specified,No,No,"Biotech, health care & pharma",23.43809302239386,10.373522431293592,Partial
TWN,East Asia,No,Net zero,2050.0,In corporate strategy,Other,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.311052502404085,9.089753408987065,Yes
ESP,Europe,No,Net zero,2050.0,Declaration / pledge,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Yes (nature-based and CCS-based removals),No,No,Infrastructure,21.525715752845038,7.815207062189088,Partial
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Manufacturing,25.690450685175684,12.180724067841732,Yes
USA,North America,No,No target,2040.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Retail,22.91581282484315,10.818457412442868,Yes
CHN,East Asia,No,No target,2050.0,Proposed / in discussion,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.846570738530097,9.37704054786718,Not Specified
KOR,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,No,No,No,Services,23.05366063067698,8.294299608857235,Yes
AUS,Oceania,No,Net zero,2050.0,Proposed / in discussion,Emissions reduction target,2033.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Manufacturing,22.194131099746297,9.04793908261736,Yes
CHN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Other,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Retail,22.79391887271927,10.130503596064212,No
CHN,East Asia,Yes,No target,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Materials,24.47041419920791,10.432644132986843,Not Specified
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.3426540804317,6.481577129276431,Not Specified
CHN,East Asia,No,Carbon neutral(ity),2030.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),Yes,No,Fossil Fuels,23.993480955182193,10.746196327732314,Not Specified
THA,East Asia,No,Net zero,2050.0,Declaration / pledge,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,No,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",Yes,No,Materials,23.461974559067066,10.965003536563062,Yes
QAT,Western and Central Asia,No,Emissions reduction target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.556174960316298,9.754784507365798,No
CHN,East Asia,No,Carbon neutral(ity),2060.0,Declaration / pledge,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,No,No,No,No,No,Materials,24.408639151756148,9.874830843286324,No
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,24.753018543293113,11.056619591646689,Not Specified
JPN,East Asia,No,Carbon neutral(ity),2050.0,Declaration / pledge,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Transportation services,23.08279821047667,10.859421985014835,No
SWE,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Yes (nature-based and CCS-based removals),No,Yes,Services,23.43736437664909,9.81809304951918,Yes
FRA,Europe,No,Carbon neutral(ity),2050.0,In corporate strategy,Other,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,Services,25.838735508319967,12.193898844598465,Partial
IRL,Europe,No,Carbon neutral(ity),2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Manufacturing,23.608066549848985,11.522885696764481,Partial
ESP,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),No,No,Fossil Fuels,11.031480634075546,10.150425752416055,Yes
BRA,Latin America and the Caribbean,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2028.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Materials,23.311029872249307,8.922791623969637,Partial
JPN,East Asia,No,Carbon neutral(ity),2030.0,In corporate strategy,No target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.415912892964926,8.329175442077402,No
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,Materials,23.240962309638046,10.823790225800138,Yes
FRA,Europe,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Manufacturing,23.82596733154257,11.326848866824777,Partial
CHE,Europe,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,No,Yes,No,No,No,No,Infrastructure,20.985630102183134,8.780633799494984,Partial
USA,North America,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Retail,24.755025523994632,12.804911893867851,No
FRA,Europe,No,Net zero,2050.0,Declaration / pledge,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,Not Specified,No,No,Hospitality,22.227343233944907,12.316589345194512,Partial
